Date,event,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
2016-12-21,0,10.219447135925291,10.219447135925291,10.219447135925291,10.219447135925291,9.038979530334473,1813070,0.0205272511332174,-0.0212681027935326,-0.0281626544427178,0.0214169713786761,0.0472135902098379,0.0868993579423782,1,-1,-1
2016-12-22,0,10.10810375213623,10.276622772216797,10.005788803100586,10.18333625793457,9.007040023803711,3563666,-0.0035398028788533,-0.0050110228116243,-0.0792239394283377,0.0214109673645446,0.0472001572875729,0.0868990800160643,-1,-1,-1
2016-12-23,0,10.225464820861816,10.547455787658691,10.071992874145508,10.378936767578123,9.241216659545898,1665858,0.0190257574778456,0.0375172688824905,-0.0626521762133701,0.0214094822863076,0.0471942498092538,0.0868900406875688,1,1,-1
2016-12-26,0,10.363890647888184,10.421067237854004,10.105094909667969,10.228473663330078,9.10724639892578,1244491,-0.014603074810897,0.0295586763713225,-0.0629928703823961,0.0214063089146367,0.0471852440016424,0.0868811524646002,-1,1,-1
2016-12-27,0,10.285650253295898,10.309724807739258,10.026853561401367,10.189353942871094,9.07241439819336,1967925,-0.0038319226787269,0.0205885046150286,-0.0557136131203723,0.0214003503641041,0.0471736891362527,0.0868689944910908,-1,1,-1
2016-12-28,0,10.141205787658691,10.252549171447754,9.9275484085083,9.960650444030762,8.868781089782715,4023580,-0.0227010690427934,-0.0051228608002076,-0.0772967170795421,0.0214013361021849,0.0471603125546095,0.0868675287836073,-1,-1,-1
2016-12-29,0,9.97870635986328,10.297686576843262,9.876391410827637,10.297686576843262,9.168874740600586,3563002,0.0332768907285511,0.007626778795126,0.0269525392729967,0.0214097962555634,0.0471468396909766,0.0868434498003109,1,1,1
2017-01-02,0,10.201391220092772,10.562501907348633,10.153243064880373,10.51435375213623,9.361791610717772,1836664,0.0208220818314811,0.0319886635054603,0.0080459972849581,0.0214092614273843,0.0471387249698339,0.0868180568174269,1,1,0
2017-01-03,0,10.610651016235352,10.968751907348633,10.517362594604492,10.956714630126951,9.755659103393556,3896306,0.0412111289081415,0.0541740349357563,0.1136032685909214,0.0214255587267544,0.0471418123679074,0.0868309008370675,1,1,1
2017-01-04,0,10.848381996154783,11.173381805419922,10.779169082641602,11.131253242492676,9.911067008972168,3768368,0.0158042827942189,0.0845813925408723,0.1205241172809186,0.0214225751982159,0.0471700079255866,0.0868487998778926,1,1,1
